date,n_components,train_start,train_end,train_observations,log_likelihood,converged,current_regime,current_regime_label,current_regime_probability,next_regime,next_regime_label,next_regime_probability,error,current_prob_regime_0,current_prob_regime_1,current_prob_regime_2,next_prob_regime_0,next_prob_regime_1,next_prob_regime_2
2017-12-29,3,2012-12-31,2017-12-29,1260,-4804.983551579048,True,1,risk_on,1.0,1,risk_on,0.9879243392235091,,1.8072600669834931e-31,1.0,1.0702774821503045e-207,0.010352025004092918,0.9879243392235091,0.0017236357723981667
2018-01-31,3,2013-01-31,2018-01-31,1260,-4749.141776834165,True,1,risk_on,1.0,1,risk_on,0.9857162264073125,,1.6305649598754463e-134,1.0,1.76278071755205e-51,0.002037266925227704,0.9857162264073125,0.012246506667459701
2018-02-28,3,2013-02-28,2018-02-28,1260,-4870.401574830158,True,0,inflation_rates_shock,1.0,0,inflation_rates_shock,0.9925485857782594,,1.0,9.729297652690823e-62,3.28619819648908e-140,0.9925485857782594,0.0049681186664978505,0.0024832955552426712
2018-03-29,3,2013-04-01,2018-03-29,1260,-5391.752229357408,True,1,defensive_risk_off,1.0,1,defensive_risk_off,0.994349745041604,,1.981206470120081e-56,1.0,1.111894052326151e-21,0.005650254958395927,0.994349745041604,1.0863241272979332e-21
2018-04-30,3,2013-04-30,2018-04-30,1260,-5287.149945623748,True,2,defensive_risk_off,1.0,2,defensive_risk_off,0.9904139993630116,,3.464989603745304e-239,1.7206407468313624e-184,1.0,0.009586000636988513,8.706707815897595e-77,0.9904139993630116
2018-05-31,3,2013-05-31,2018-05-31,1260,-5109.8210430458,True,0,inflation_rates_shock,0.9999999999718057,0,inflation_rates_shock,0.9816916563390599,,0.9999999999718057,2.8367474530337703e-11,6.25120358915042e-56,0.9816916563390599,0.009103995446534818,0.009204348214578426
2018-06-29,3,2013-07-01,2018-06-29,1260,-4787.847033476937,True,2,defensive_risk_off,1.0,2,defensive_risk_off,0.9848628352784884,,1.3602451083005065e-24,7.715979542017033e-36,1.0,0.012112481501144067,0.0030246832203676536,0.9848628352784884
2018-07-31,3,2013-07-31,2018-07-31,1260,-5635.9832906344545,True,2,inflation_rates_shock,0.9999999782503439,2,inflation_rates_shock,0.970923750819326,,2.174924103703497e-08,2.288685523136764e-56,0.9999999782503439,0.01817897642147204,0.010897272758786774,0.970923750819326
2018-08-31,3,2013-09-03,2018-08-31,1260,-5407.4895907104,True,0,risk_on,0.9999999833162293,0,risk_on,0.9836445375445351,,0.9999999833162293,3.1550304523293894e-24,1.6684189048738302e-08,0.9836445375445351,0.009086672668982849,0.007268789786900343
2018-09-28,3,2013-09-30,2018-09-28,1260,-5313.130145342645,True,0,risk_on,1.0,0,risk_on,0.9908909542144347,,1.0,2.676042381341298e-78,1.4527424412762397e-15,0.9908909542144347,0.0015028624774191233,0.00760618330814754
2018-10-31,3,2013-10-31,2018-10-31,1260,-4881.709054142382,True,1,inflation_rates_shock,1.0,1,inflation_rates_shock,0.9829549571347623,,1.768015204818587e-14,1.0,2.1138601268572827e-25,0.012784247152336892,0.9829549571347623,0.004260795712918469
2018-11-30,3,2013-12-02,2018-11-30,1260,-5140.993468377514,True,1,defensive_risk_off,0.9999999999918145,1,defensive_risk_off,0.9864817329575003,,2.678874825175351e-44,0.9999999999918145,7.794702554971453e-12,1.1894993168768436e-13,0.9864817329575003,0.013518267041990157
2018-12-31,3,2013-12-31,2018-12-31,1259,-4512.287932318662,True,0,defensive_risk_off,1.0,0,defensive_risk_off,0.986724794058221,,1.0,4.222287166620318e-152,3.3766794055704565e-62,0.986724794058221,2.7528976354654423e-64,0.013275205941779038
2019-01-31,3,2014-01-31,2019-01-31,1259,-4435.203303789812,True,2,defensive_risk_off,1.0,2,defensive_risk_off,0.9902901590840621,,6.766996379666724e-44,2.7777151883877683e-124,1.0,0.009709840915937892,6.291597791308092e-46,0.9902901590840621
2019-02-28,3,2014-02-28,2019-02-28,1259,-4043.478331673228,True,2,defensive_risk_off,1.0,2,defensive_risk_off,0.9925690992729811,,1.0969137879367417e-46,3.2161005097068033e-106,1.0,0.0024771399790043808,0.004953760748014468,0.9925690992729811
2019-03-29,3,2014-03-31,2019-03-29,1259,-4489.039185838585,True,1,inflation_rates_shock,1.0,1,inflation_rates_shock,0.9797259906023108,,1.5207822185162913e-45,1.0,1.7131690279900673e-14,0.0067577646224995834,0.9797259906023108,0.013516244775206817
2019-04-30,3,2014-04-30,2019-04-30,1259,-4452.978076394993,True,2,risk_on,0.9999999955607564,2,risk_on,0.9929079814021016,,9.287851061488751e-32,4.439695617127284e-09,0.9999999955607564,0.002836584334581958,0.00425543426376836,0.9929079814021016
2019-05-31,3,2014-06-02,2019-05-31,1259,-4613.833835224004,True,2,inflation_rates_shock,0.9998139362712651,2,inflation_rates_shock,0.9695301903278335,,1.7753269561748495e-16,0.00018606372847507866,0.9998139362712651,0.021982949222565062,0.008486860449341733,0.9695301903278335
