date,n_components,train_start,train_end,train_observations,log_likelihood,converged,current_regime,current_regime_label,current_regime_probability,next_regime,next_regime_label,next_regime_probability,error,current_prob_regime_0,current_prob_regime_1,current_prob_regime_2,current_prob_regime_3,current_prob_regime_4,next_prob_regime_0,next_prob_regime_1,next_prob_regime_2,next_prob_regime_3,next_prob_regime_4
2015-05-29,5,2010-06-01,2015-05-29,1258,-810.9744775109576,True,1,inflation_rates_shock,1.0,1,inflation_rates_shock,0.9627180532197613,,1.514987959008428e-16,1.0,3.006401929771367e-23,7.768154516439079e-219,1.0071215922060088e-182,0.018638095292373022,0.9627180532197613,0.018643851487865643,3.9493726609668715e-19,3.949234594302754e-19
2015-06-30,5,2010-06-30,2015-06-30,1259,-1069.6508702965664,True,1,inflation_rates_shock,0.9999796455836242,1,inflation_rates_shock,0.9813090848707118,,1.4412013016289703e-214,0.9999796455836242,2.103703292739076e-82,2.081221260956499e-46,2.035441634791323e-05,4.020987605591152e-08,0.9813090848707118,0.011202348598738901,4.02104523814919e-08,0.007488486110192868
2015-07-31,5,2010-08-02,2015-07-31,1259,-1491.010387700078,True,1,mixed_or_neutral_1,1.0,1,mixed_or_neutral_1,0.9763327802303413,,9.771895908614283e-26,1.0,1.040717180738412e-36,1.1492016471858155e-30,1.0200273988410986e-21,0.009451051374707498,0.9763327802303413,0.009451080124037278,7.198787271441152e-24,0.004765088270913872
2015-08-31,5,2010-08-31,2015-08-31,1259,-1087.8019649053836,True,4,defensive_risk_off,1.0,4,defensive_risk_off,0.9895847477425619,,2.5431970396439067e-185,1.9517119648666486e-133,1.1707101374370716e-112,3.1075874514283825e-144,1.0,7.27885367588551e-115,7.279837215236573e-115,1.145233232907167e-112,0.010415252257438097,0.9895847477425619
2015-09-30,5,2010-09-30,2015-09-30,1259,-1193.1307077955425,True,1,defensive_risk_off,1.0,1,defensive_risk_off,0.9814852629898372,,2.45847602781095e-166,1.0,8.310559561353734e-40,1.6130680191007306e-135,2.9277916220274357e-85,1.99482761800787e-87,0.9814852629898372,0.018514737010162832,3.315389432247366e-87,1.495424159518736e-41
2015-10-30,5,2010-11-01,2015-10-30,1259,-722.3321056043428,True,2,recovery_or_normalization,1.0,2,recovery_or_normalization,0.9823713315236791,,9.329507365808346e-72,1.7977424725577554e-67,1.0,1.7065114921808996e-28,6.437768554885428e-44,0.00440715953978506,0.004407163685812107,0.9823713315236791,0.008814345250723648,1.0061856358245695e-30
2015-11-30,5,2010-11-30,2015-11-30,1259,-1158.91541118813,True,2,recovery_or_normalization,1.0,2,recovery_or_normalization,0.9883736381150521,,2.2416816952925343e-65,2.838252707534687e-55,1.0,2.867198829815332e-22,4.3200861194429156e-66,3.674632204636955e-24,0.0038755858900381217,0.9883736381150521,0.007750775994909696,1.8367139072596683e-24
2015-12-31,5,2010-12-31,2015-12-31,1259,-972.1745820669698,True,3,inflation_rates_shock,1.0,3,inflation_rates_shock,0.9887956961148942,,3.345597638676198e-48,3.4645593628077184e-83,4.595174731044437e-67,1.0,4.2863666313673026e-54,0.0028008509876612056,0.0056026019122956405,6.92548691257088e-50,0.9887956961148942,0.0028008509851489448
2016-01-29,5,2011-01-31,2016-01-29,1258,-930.0622715391638,True,2,defensive_risk_off,1.0,2,defensive_risk_off,0.9734421085470136,,7.926078483445073e-220,1.9797400800249107e-46,1.0,2.5479581142988343e-35,2.910161813521892e-114,1.4163859292868506e-37,2.8328161136704555e-37,0.9734421085470136,0.026557891452986454,5.144735598599287e-49
2016-02-29,5,2011-02-28,2016-02-29,1259,-799.4904071995081,True,4,recovery_or_normalization,1.0,4,recovery_or_normalization,0.9727518669035545,,1.0467792808590342e-241,3.1787161554575016e-191,2.3189799495645536e-37,1.7600207399623962e-74,1.0,1.0271972936986496e-39,4.770036237494541e-77,0.009082766093514901,0.018165367002930595,0.9727518669035545
2016-03-31,5,2011-03-31,2016-03-31,1258,-369.6161893008113,True,0,inflation_rates_shock,1.0,0,inflation_rates_shock,0.9700984286515894,,1.0,1.6340565788336297e-34,1.0369485158969932e-90,0.0,1.9639803244936705e-22,0.9700984286515894,0.01794117040936371,2.0508909227506536e-36,0.005980195870503732,0.005980205068543242
2016-04-29,5,2011-04-29,2016-04-29,1259,-384.1345733008812,True,2,inflation_rates_shock,1.0,2,inflation_rates_shock,0.9849346851123834,,9.886347982965162e-43,1.4852291285771786e-52,1.0,2.911542049146938e-37,4.311012150876924e-54,1.716444757556462e-39,0.006026113131760038,0.9849346851123834,0.006026145642948,0.003013056112908687
2016-05-31,5,2011-05-31,2016-05-31,1259,-535.9732833165176,True,1,inflation_rates_shock,1.0,1,inflation_rates_shock,0.9893493238126404,,5.403477206791797e-92,1.0,6.912441873211624e-143,2.200031260750228e-20,4.2323726375986996e-20,0.005325415950159371,0.9893493238126404,2.5729024864746445e-93,0.0026625134175811325,0.0026627468196190863
2016-06-30,5,2011-06-30,2016-06-30,1259,-835.3313561078032,True,1,mixed_or_neutral_1,0.9999999999575948,1,mixed_or_neutral_1,0.9684512880608287,,2.110243678566484e-59,0.9999999999575948,2.097788009365805e-54,3.3079033805478623e-32,4.24439518390772e-11,0.003504677873956461,0.9684512880608287,0.010513857560644853,0.003504774222990959,0.01402540228161764
2016-07-29,5,2011-07-29,2016-07-29,1259,-364.65425497667627,True,4,recovery_or_normalization,1.0,4,recovery_or_normalization,0.9815534615631442,,1.1415669030762855e-45,9.33718220151197e-19,2.0796070526855043e-79,1.469143919256028e-121,1.0,8.171231980319483e-21,0.012298343717806595,0.006148194719049192,1.0911901490159317e-47,0.9815534615631442
2016-08-31,5,2011-08-31,2016-08-31,1259,-1555.7492841550652,True,1,recovery_or_normalization,1.0,1,recovery_or_normalization,0.9923810692514753,,2.807189988164844e-58,1.0,3.285422653408908e-103,4.320576386123497e-78,1.9096182047899373e-24,0.0019047030555704868,0.9923810692514753,0.003809526181097816,3.237331127980823e-26,0.0019047015118562917
2016-09-30,5,2011-09-30,2016-09-30,1259,-2490.213572901402,True,4,inflation_rates_shock,1.0,4,inflation_rates_shock,0.9865367672829509,,2.298909511459074e-209,2.8880180945813514e-17,1.2739286206048287e-58,1.8246146574007626e-85,1.0,9.851456906480387e-87,0.004487682674224628,0.0022439088368044675,0.006731641206019932,0.9865367672829509
