date,regime,regime_label,prob_regime_0,prob_regime_1,prob_regime_2
2024-05-13,0,risk_on,0.9999999938645487,6.134928001609474e-09,1.2734349537955441e-79
2024-05-14,0,risk_on,0.9999999924202712,7.580399824216195e-09,1.5465086703811373e-74
2024-05-15,0,risk_on,0.9999999957872205,4.213493284504955e-09,2.5439769171115536e-73
2024-05-16,0,risk_on,0.9999999966130417,3.3866643275056356e-09,1.1849466410625594e-73
2024-05-17,0,risk_on,0.9999999948722689,5.1280112931580334e-09,1.2413891423962871e-72
2024-05-20,0,risk_on,0.9999999921146809,7.884905178988865e-09,3.411584787937352e-72
2024-05-21,0,risk_on,0.9999999960946298,3.905460066672735e-09,5.670027447718901e-73
2024-05-22,0,risk_on,0.9999999987521733,1.2476110975552521e-09,2.645544805078455e-74
2024-05-23,0,risk_on,0.9999999976826075,2.3180575454780147e-09,1.4703243479799482e-75
2024-05-24,0,risk_on,0.9999999986866897,1.3124945128109522e-09,3.92548261159949e-75
2024-05-28,0,risk_on,0.9999999987558112,1.2441621430865392e-09,5.047773373441713e-76
2024-05-29,0,risk_on,0.9999999976334948,2.3668874175139285e-09,6.085278541818359e-79
2024-05-30,0,risk_on,0.9999999933661456,6.633903308927006e-09,5.5470323630392535e-73
2024-05-31,0,risk_on,0.9999999953761289,4.623958417575158e-09,6.023190840014858e-73
2024-06-03,0,risk_on,0.9999999976771505,2.322200489471424e-09,2.400962993990356e-75
2024-06-04,0,risk_on,0.9999999984884198,1.5120425490690755e-09,1.1247359688208612e-81
2024-06-05,0,risk_on,0.9999999979027052,2.0964166289932895e-09,7.94311238648603e-83
2024-06-06,0,risk_on,0.9999999970204954,2.9791769814738413e-09,1.5312061177033287e-84
2024-06-07,0,risk_on,0.9999999983483576,1.6509890938098185e-09,2.7951411027939274e-84
2024-06-10,0,risk_on,0.9999999982301233,1.7706863413331104e-09,5.038432213694002e-84
2024-06-11,0,risk_on,0.9999999986557668,1.3439891433632462e-09,1.1151261103057376e-87
2024-06-12,0,risk_on,0.9999999986612238,1.3394245667392391e-09,1.8153882616186087e-87
2024-06-13,0,risk_on,0.9999999990232027,9.767002961590154e-10,6.163344222159474e-86
2024-06-14,0,risk_on,0.9999999982028385,1.7980474324279934e-09,1.446322765963908e-87
2024-06-17,0,risk_on,0.9999999985557224,1.4435852425428767e-09,3.885919970440298e-84
2024-06-18,0,risk_on,0.999999998803105,1.1963752795458694e-09,5.1772666031472116e-83
2024-06-20,0,risk_on,0.9999999985229806,1.4765381362322255e-09,2.550182514347728e-85
2024-06-21,0,risk_on,0.9999999983883754,1.6116463028376414e-09,1.6407553623272882e-85
2024-06-24,0,risk_on,0.9999999985520844,1.4482010178450202e-09,1.8678562917476622e-85
2024-06-25,0,risk_on,0.9999999973679223,2.6314720624970154e-09,1.0486161731064504e-83
2024-06-26,0,risk_on,0.999999997087798,2.9129155996841222e-09,1.1532922527385801e-83
2024-06-27,0,risk_on,0.9999999974843377,2.515185705279896e-09,1.440367184684026e-82
2024-06-28,0,risk_on,0.999999997258783,2.7413796121140875e-09,2.1190237208558735e-83
2024-07-01,0,risk_on,0.9999999949468474,5.05278926107577e-09,1.843589671678748e-80
2024-07-02,0,risk_on,0.9999999919600668,8.039836728825973e-09,1.5363413842368054e-81
2024-07-03,0,risk_on,0.9999999966694304,3.3307468127985617e-09,1.0083359005619748e-81
2024-07-05,0,risk_on,0.9999999967567419,3.243237437737004e-09,1.1149035538263074e-85
2024-07-08,0,risk_on,0.9999999983756425,1.6245838640435903e-09,4.6414355190891054e-94
2024-07-09,0,risk_on,0.9999999976462277,2.353600464807974e-09,1.7001489911333902e-92
2024-07-10,0,risk_on,0.9999999934952939,6.505323964889863e-09,4.811896316366301e-90
2024-07-11,0,risk_on,0.9999999877072696,1.229289878765105e-08,3.4811746814942785e-79
2024-07-12,0,risk_on,0.9999999962656148,3.734894522268767e-09,5.99061307211731e-82
2024-07-15,0,risk_on,0.999999995017788,4.982605720759724e-09,1.602557312957251e-85
2024-07-16,0,risk_on,0.9999999939300324,6.0707642960143075e-09,2.145851115655463e-80
2024-07-17,0,risk_on,0.9999999766605472,2.333986698904132e-08,5.179959305422608e-76
2024-07-18,0,risk_on,0.9999999504561868,4.9543197828036575e-08,3.1205663451782684e-81
2024-07-19,0,risk_on,0.999999849862445,1.5013759113420055e-07,3.2276051949172645e-81
2024-07-22,0,risk_on,0.9999999556148406,4.438580790240097e-08,1.3839749800701044e-80
2024-07-23,0,risk_on,0.9999999683477659,3.1652989981834435e-08,2.3043886862246658e-79
2024-07-24,0,risk_on,0.9999920587730862,7.941227156272202e-06,7.249315676374069e-80
2024-07-25,0,risk_on,0.9999955659775956,4.434023004071914e-06,6.09912508059849e-78
2024-07-26,0,risk_on,0.9999986744087128,1.3255904759140012e-06,6.556210499077155e-79
2024-07-29,0,risk_on,0.999999433901554,5.660986778011005e-07,4.066318652230561e-80
2024-07-30,0,risk_on,0.9999993458661586,6.541339972417293e-07,1.2584603126358885e-76
2024-07-31,0,risk_on,0.9999818057403795,1.819425909179588e-05,9.67905319592936e-73
2024-08-01,0,risk_on,0.980414121645397,0.019585878355259823,1.1876215520027548e-65
2024-08-02,1,inflation_rates_shock,0.1349397379421829,0.8650602620572708,1.800139937473842e-45
2024-08-05,1,inflation_rates_shock,7.948186508285922e-16,1.0,1.424454352867611e-44
2024-08-06,1,inflation_rates_shock,6.150006159158403e-09,0.9999999938499968,3.91420500374792e-40
2024-08-07,1,inflation_rates_shock,5.5122787727890323e-08,0.9999999448773467,6.197795683607889e-40
2024-08-08,1,inflation_rates_shock,0.0031830145760803636,0.9968169854234084,2.146889534904012e-38
2024-08-09,1,inflation_rates_shock,0.11948901496682358,0.8805109850334626,1.418263432005494e-38
2024-08-12,1,inflation_rates_shock,0.35757704391929,0.642422956079993,8.31006596654161e-40
2024-08-13,0,risk_on,0.9234992299110578,0.07650077008887185,1.3489740604498098e-41
