date,regime,regime_label,prob_regime_0,prob_regime_1,prob_regime_2,prob_regime_3,prob_regime_4
2008-08-08,4,mixed_or_neutral_4,3.2507503533165047e-40,3.994088217644355e-15,2.8952364366870206e-109,7.320191782983547e-27,1.0
2008-08-11,4,mixed_or_neutral_4,1.4879482748180862e-37,8.882078156724057e-15,2.361573390247128e-106,2.652188106075864e-23,1.0
2008-08-12,4,mixed_or_neutral_4,8.142239563885958e-40,1.0834200277736842e-14,1.2695611472813116e-115,2.129346699655291e-23,1.0
2008-08-13,4,mixed_or_neutral_4,5.534198549485098e-43,5.625554064486252e-17,1.3048242498577974e-126,3.652949258519797e-24,1.0
2008-08-14,4,mixed_or_neutral_4,1.1995192567427928e-43,1.870216636886676e-18,9.46199587120637e-113,1.0088705374182149e-28,1.0
2008-08-15,4,mixed_or_neutral_4,3.81471170116007e-41,7.224444165184899e-18,1.3849675567661227e-108,4.6054892912388825e-29,1.0
2008-08-18,4,mixed_or_neutral_4,1.9683079063846072e-41,8.629775552561702e-18,1.3328358203454906e-113,8.747693519885978e-28,1.0
2008-08-19,4,mixed_or_neutral_4,3.805750700237586e-40,1.7457565672463544e-17,9.693232219381745e-123,1.4954151331275432e-27,1.0
2008-08-20,4,mixed_or_neutral_4,8.025421297632039e-41,2.049637085903407e-15,7.797526526949886e-118,3.7610152632281585e-27,1.0
2008-08-21,4,mixed_or_neutral_4,5.861709839126233e-40,3.157718108788936e-15,4.385908449503302e-115,1.8766372083136443e-27,1.0
2008-08-22,4,mixed_or_neutral_4,1.6088291545378433e-41,8.883243912893729e-14,1.718437008415692e-112,2.5192293161715507e-25,1.0
2008-08-25,4,mixed_or_neutral_4,2.337682503288868e-41,1.2600247758243507e-14,1.5572115462061855e-124,5.950842850821656e-24,1.0
2008-08-26,4,mixed_or_neutral_4,3.31099025448035e-42,2.2797485481566797e-15,5.546174184844006e-128,5.906054177112628e-24,1.0
2008-08-27,4,mixed_or_neutral_4,9.868636207732054e-43,5.294845667953954e-16,4.13390792938267e-114,1.2209295281035342e-25,1.0
2008-08-28,4,mixed_or_neutral_4,5.534138505744175e-41,7.474426400174381e-16,1.652269129131778e-99,4.0870770866782816e-27,1.0
2008-08-29,4,mixed_or_neutral_4,4.890232085645249e-41,2.725713065333493e-15,2.2947524220928453e-109,1.3509720052065696e-25,1.0
2008-09-02,4,mixed_or_neutral_4,3.695183244968335e-41,4.051895139998146e-15,4.586088258638053e-113,1.876751822168572e-23,1.0
2008-09-03,4,mixed_or_neutral_4,1.5818159060011558e-43,1.4745835351516719e-15,2.2280513053612084e-119,6.37170430652047e-24,1.0
2008-09-04,4,mixed_or_neutral_4,5.385064758050372e-41,1.8569268260542703e-18,2.4666663123948e-129,1.8766823903131312e-26,1.0
2008-09-05,4,mixed_or_neutral_4,1.3410682017378968e-42,1.3124406918147244e-15,1.3478993996815602e-130,2.403724213761985e-28,1.0
2008-09-08,4,mixed_or_neutral_4,1.1115384703233213e-42,1.0025954280150358e-16,7.01976327295818e-117,1.5403791414561803e-24,1.0
2008-09-09,4,mixed_or_neutral_4,1.0381116373309391e-38,6.8852549485617e-16,3.398885433516901e-132,1.506777641719132e-27,1.0
2008-09-10,4,mixed_or_neutral_4,4.07900613682891e-38,2.2612518476787178e-13,1.2846401790001865e-127,1.5172196093754892e-27,1.0
2008-09-11,4,mixed_or_neutral_4,2.082512549556143e-37,1.929002134132705e-12,1.5734202156527064e-119,1.3031366309147468e-22,0.999999999998181
2008-09-12,4,mixed_or_neutral_4,3.715189789211974e-31,5.124674970601079e-11,1.630451540198955e-111,5.0594649240218725e-20,0.9999999999490683
2008-09-15,4,mixed_or_neutral_4,2.4919747407623233e-30,0.0063749415205980094,1.485264109206257e-133,5.0279924773824657e-20,0.9936250584796259
2008-09-16,1,defensive_risk_off,2.440659339718076e-31,0.8524668174575493,4.7325572080080324e-130,5.04356784193905e-13,0.1475331825423589
2008-09-17,1,defensive_risk_off,3.592650913892729e-50,0.9999999450792545,4.0764116497302677e-169,1.1038348754205275e-09,5.381685510142719e-08
2008-09-18,1,defensive_risk_off,1.481018212738219e-42,0.999999980215762,1.7970159863005894e-154,2.0573539927786867e-20,1.9784560470514e-08
2008-09-19,1,defensive_risk_off,2.6954464658014544e-43,0.9999999995825419,3.787292047773176e-134,7.61921227724711e-29,4.17618668283553e-10
2008-09-22,1,defensive_risk_off,3.844094529868812e-49,0.9999999998935891,3.696618093801207e-153,7.235975454827374e-29,1.0614898767312644e-10
